batch_size,learning_rate,epochs_config,epoch,train_loss,val_loss
16,5e-05,2,1,0.7152842,0.70250165
16,5e-05,2,2,0.7203742,0.7476168
16,5e-05,2,3,0.71568364,0.7223474
16,5e-05,2,4,0.69953895,0.698344
16,5e-05,2,5,0.69241196,0.68941987
16,5e-05,2,6,0.6964348,0.6556132
16,5e-05,2,7,0.70571345,0.6526514
16,5e-05,2,8,0.69606584,0.6568053
16,5e-05,2,9,0.6832722,0.6084169
16,5e-05,2,10,0.6880134,0.5972954
16,5e-05,2,11,0.683302,0.5841182
16,5e-05,2,12,0.68207073,0.57710975
16,5e-05,2,13,0.68831486,0.5775347
16,5e-05,2,14,0.6834112,0.5765987
16,5e-05,2,15,0.6856305,0.5785805
16,5e-05,2,16,0.68303317,0.579249
16,5e-05,2,17,0.68457204,0.58327883
16,5e-05,2,18,0.6483685,0.5857338
16,5e-05,3,1,0.65298235,0.619665
16,5e-05,3,2,0.73849374,0.66312826
16,5e-05,3,3,0.71935135,0.7106244
16,5e-05,3,4,0.7164179,0.69016534
16,5e-05,3,5,0.7412189,0.6609475
16,5e-05,3,6,0.7208096,0.6486126
16,5e-05,4,1,0.68701804,0.6875092
16,5e-05,4,2,0.7032174,0.6587497
16,5e-05,4,3,0.6715382,0.63632536
16,5e-05,4,4,0.67177624,0.673241
16,5e-05,4,5,0.697375,0.669167
16,5e-05,4,6,0.7033181,0.6839558
16,5e-05,4,7,0.8553615,0.7129232
16,5e-05,4,8,0.72285014,0.6983997
16,5e-05,4,9,0.6418202,0.69927615
16,3e-05,2,1,0.72625697,0.7312973
16,3e-05,2,2,0.7298345,0.6970302
16,3e-05,2,3,0.7126449,0.7186481
16,3e-05,2,4,0.6982607,0.7300226
16,3e-05,2,5,0.7279179,0.6853696
16,3e-05,2,6,0.7193293,0.660486
16,3e-05,2,7,0.7232383,0.64639676
16,3e-05,2,8,0.72048336,0.667451
16,3e-05,2,9,0.7172781,0.6454517
16,3e-05,2,10,0.70993066,0.6225471
16,3e-05,2,11,0.7033039,0.6122898
16,3e-05,2,12,0.6981862,0.60562193
16,3e-05,2,13,0.6965824,0.60281765
16,3e-05,2,14,0.69210654,0.59841025
16,3e-05,2,15,0.6914184,0.5924493
16,3e-05,2,16,0.6954532,0.5976596
16,3e-05,2,17,0.6919142,0.59618515
16,3e-05,2,18,0.6860964,0.5882017
16,3e-05,2,19,0.68457663,0.58085865
16,3e-05,2,20,0.6871157,0.58517057
16,3e-05,2,21,0.6844536,0.5875041
16,3e-05,2,22,0.6803011,0.5897112
16,3e-05,2,23,0.58699393,0.57724404
16,3e-05,2,24,0.59800196,0.56586903
16,3e-05,2,25,0.59796023,0.56743777
16,3e-05,2,26,0.6384206,0.59859496
16,3e-05,2,27,0.63059306,0.6057746
16,3e-05,3,1,0.69593704,0.73388666
16,3e-05,3,2,0.7041564,0.720442
16,3e-05,3,3,0.7005744,0.6828896
16,3e-05,3,4,0.68186915,0.6666583
16,3e-05,3,5,0.6947346,0.63984746
16,3e-05,3,6,0.6946196,0.64551824
16,3e-05,3,7,0.68220216,0.65963626
16,3e-05,3,8,0.6781722,0.65646297
16,3e-05,3,9,0.6195074,0.65298307
16,3e-05,3,10,0.6335002,0.6633797
16,3e-05,4,1,0.6981387,0.64002955
16,3e-05,4,2,0.6763899,0.6599304
16,3e-05,4,3,0.67520064,0.63783216
16,3e-05,4,4,0.6842742,0.624771
16,3e-05,4,5,0.6824696,0.60852486
16,3e-05,4,6,0.67570305,0.62438476
16,3e-05,4,7,0.6778722,0.65696234
16,3e-05,4,8,0.6741091,0.63615566
16,3e-05,4,9,0.76004183,0.67257535
16,3e-05,4,10,0.7102544,0.67698985
16,3e-05,4,11,0.73529685,0.65456235
16,2e-05,2,1,0.76033443,0.6379086
16,2e-05,2,2,0.732944,0.6483047
16,2e-05,2,3,0.74303,0.6598005
16,2e-05,2,4,0.7380686,0.67415375
16,2e-05,2,5,0.5914986,0.67953604
16,2e-05,3,1,0.7134664,0.67479926
16,2e-05,3,2,0.72343296,0.64598054
16,2e-05,3,3,0.7261105,0.6463258
16,2e-05,3,4,0.7050072,0.63642335
16,2e-05,3,5,0.71761626,0.64493877
16,2e-05,3,6,0.7134667,0.6433642
16,2e-05,3,7,0.6936762,0.6396689
16,2e-05,3,8,0.65451396,0.63009846
16,2e-05,3,9,0.70022213,0.6495058
16,2e-05,3,10,0.6981532,0.65186244
16,2e-05,3,11,0.68082714,0.63812536
16,2e-05,3,12,0.6864065,0.6379175
16,2e-05,4,1,0.682165,0.64349836
16,2e-05,4,2,0.6665305,0.6207491
16,2e-05,4,3,0.6802909,0.6509627
16,2e-05,4,4,0.65693164,0.6295913
16,2e-05,4,5,0.64194536,0.5986911
16,2e-05,4,6,0.6517469,0.6428198
16,2e-05,4,7,0.63761264,0.61024153
16,2e-05,4,8,0.6443062,0.59028894
16,2e-05,4,9,0.6402554,0.5816252
16,2e-05,4,10,0.63579303,0.57651997
16,2e-05,4,11,0.6551966,0.5784741
16,2e-05,4,12,0.6551994,0.57919085
16,2e-05,4,13,0.6426948,0.57801825
16,2e-05,4,14,0.6499496,0.5813761
16,2e-05,4,15,0.6842909,0.59325457
16,2e-05,4,16,0.55302274,0.5952852
32,5e-05,2,1,0.70356166,0.6893727
32,5e-05,2,2,0.7022669,0.7258773
32,5e-05,2,3,0.6978564,0.6578525
32,5e-05,2,4,0.695335,0.64546806
32,5e-05,2,5,0.6877116,0.6268195
32,5e-05,2,6,0.68894815,0.6208606
32,5e-05,2,7,0.68494684,0.6036177
32,5e-05,2,8,0.68527204,0.59546095
32,5e-05,2,9,0.6896413,0.5974353
32,5e-05,2,10,0.68424743,0.5889671
32,5e-05,2,11,0.67966986,0.5839121
32,5e-05,2,12,0.6766382,0.5914697
32,5e-05,2,13,0.6754476,0.6006257
32,5e-05,2,14,0.67995065,0.60838693
32,5e-05,2,15,0.6102142,0.6031844
32,5e-05,3,1,0.7060795,0.78178304
32,5e-05,3,2,0.6997423,0.6643869
32,5e-05,3,3,0.702333,0.63577574
32,5e-05,3,4,0.69678843,0.6161818
32,5e-05,3,5,0.7007584,0.6266782
32,5e-05,3,6,0.704061,0.7015471
32,5e-05,3,7,0.703839,0.6978008
32,5e-05,3,8,0.69370174,0.67691785
32,5e-05,3,9,0.69566745,0.6768203
32,5e-05,4,1,0.7371375,0.6808775
32,5e-05,4,2,0.70362103,0.77795076
32,5e-05,4,3,0.7020192,0.6814327
32,5e-05,4,4,0.6975622,0.60367435
32,5e-05,4,5,0.6844197,0.575414
32,5e-05,4,6,0.6931234,0.588214
32,5e-05,4,7,0.68197453,0.55733496
32,5e-05,4,8,0.682423,0.5580811
32,5e-05,4,9,0.6786,0.56513554
32,5e-05,4,10,0.67023075,0.5489581
32,5e-05,4,11,0.67108434,0.53668946
32,5e-05,4,12,0.6715002,0.53786874
32,5e-05,4,13,0.67882156,0.5562702
32,5e-05,4,14,0.6805148,0.57392627
32,5e-05,4,15,0.69952184,0.58794576
32,5e-05,4,16,0.7025448,0.61741024
32,5e-05,4,17,0.5737858,0.6039736
32,3e-05,2,1,0.7091657,0.64204437
32,3e-05,2,2,0.6862879,0.6191537
32,3e-05,2,3,0.69533044,0.6153205
32,3e-05,2,4,0.6973731,0.6114057
32,3e-05,2,5,0.68167174,0.62383
32,3e-05,2,6,0.6763812,0.62090296
32,3e-05,2,7,0.6684279,0.6034808
32,3e-05,2,8,0.6698866,0.59165406
32,3e-05,2,9,0.6632231,0.5879683
32,3e-05,2,10,0.66069895,0.5746345
32,3e-05,2,11,0.6757484,0.5717967
32,3e-05,2,12,0.677232,0.57066935
32,3e-05,2,13,0.6698908,0.5673807
32,3e-05,2,14,0.6697966,0.5598559
32,3e-05,2,15,0.67162746,0.5560393
32,3e-05,2,16,0.67580545,0.5597861
32,3e-05,2,17,0.6773836,0.5530669
32,3e-05,2,18,0.7147081,0.55888206
32,3e-05,2,19,0.69733346,0.5735059
32,3e-05,2,20,0.66857624,0.58661526
32,3e-05,3,1,0.64948046,0.7216585
32,3e-05,3,2,0.64928836,0.6998644
32,3e-05,3,3,0.66857845,0.67498916
32,3e-05,3,4,0.69526434,0.6644464
32,3e-05,3,5,0.7030963,0.65442556
32,3e-05,3,6,0.70593625,0.62844115
32,3e-05,3,7,0.70467,0.59879404
32,3e-05,3,8,0.7014702,0.5762274
32,3e-05,3,9,0.70075476,0.5609232
32,3e-05,3,10,0.69969404,0.54993284
32,3e-05,3,11,0.70232064,0.5473097
32,3e-05,3,12,0.69817233,0.54405856
32,3e-05,3,13,0.6976516,0.5473612
32,3e-05,3,14,0.695632,0.55880696
32,3e-05,3,15,0.69120103,0.55503935
32,3e-05,3,16,0.6702312,0.56112736
32,3e-05,3,17,0.64225996,0.5846035
32,3e-05,4,1,0.72253895,0.62259233
32,3e-05,4,2,0.71489483,0.6282451
32,3e-05,4,3,0.6960586,0.6331165
32,3e-05,4,4,0.69017243,0.6063499
32,3e-05,4,5,0.68624127,0.59417874
32,3e-05,4,6,0.6844971,0.57434136
32,3e-05,4,7,0.67639977,0.5656021
32,3e-05,4,8,0.67506063,0.54560804
32,3e-05,4,9,0.675814,0.54716426
32,3e-05,4,10,0.6734161,0.5576799
32,3e-05,4,11,0.67756075,0.6418233
32,3e-05,4,12,0.6665974,0.6551618
32,3e-05,4,13,0.6540853,0.66035366
32,3e-05,4,14,0.6629128,0.6641478
32,2e-05,2,1,0.6894024,0.6710019
32,2e-05,2,2,0.6922369,0.6321639
32,2e-05,2,3,0.6967985,0.6092352
32,2e-05,2,4,0.69707495,0.5894161
32,2e-05,2,5,0.6909026,0.5816634
32,2e-05,2,6,0.6877032,0.5741325
32,2e-05,2,7,0.6855575,0.5895915
32,2e-05,2,8,0.6797461,0.5880051
32,2e-05,2,9,0.67808527,0.58146566
32,2e-05,2,10,0.6525272,0.583229
32,2e-05,3,1,0.67188334,0.6299781
32,2e-05,3,2,0.6872303,0.607153
32,2e-05,3,3,0.67016727,0.61232823
32,2e-05,3,4,0.6743835,0.61149436
32,2e-05,3,5,0.6647836,0.6127757
32,2e-05,3,6,0.68436587,0.63091797
32,2e-05,3,7,0.67529,0.6361546
32,2e-05,4,1,0.657041,0.80837923
32,2e-05,4,2,0.679888,0.8241167
32,2e-05,4,3,0.6696761,0.73592967
32,2e-05,4,4,0.67609406,0.71786577
32,2e-05,4,5,0.6941938,0.68423724
32,2e-05,4,6,0.6926034,0.65471834
32,2e-05,4,7,0.6897106,0.64677554
32,2e-05,4,8,0.6874619,0.63598746
32,2e-05,4,9,0.6850137,0.61740845
32,2e-05,4,10,0.68042386,0.59296864
32,2e-05,4,11,0.6797356,0.5729849
32,2e-05,4,12,0.68010193,0.55984
32,2e-05,4,13,0.678979,0.54641896
32,2e-05,4,14,0.6810298,0.53895074
32,2e-05,4,15,0.6802967,0.5332145
32,2e-05,4,16,0.68238765,0.5330389
32,2e-05,4,17,0.6811037,0.5351725
32,2e-05,4,18,0.61480904,0.53620803
32,2e-05,4,19,0.61250997,0.5351397
32,2e-05,4,20,0.6174754,0.5386961
32,2e-05,4,21,0.6467441,0.54620284
